
······ Experiment Configuration ······ 
- # Packages: 100, seed: 1234
- Proportion: 1.2, seed: 1234
······································

Steps: 1000 	|	Stiter: 1 	|	K: 1 	|	Lamb: 0,5000	|	Mean price: 795,4460	|	Mean time: 104 miliseconds
Steps: 1000 	|	Stiter: 1 	|	K: 1 	|	Lamb: 0,2500	|	Mean price: 795,4205	|	Mean time: 84 miliseconds
Steps: 1000 	|	Stiter: 1 	|	K: 1 	|	Lamb: 0,1250	|	Mean price: 795,6315	|	Mean time: 40 miliseconds
Steps: 1000 	|	Stiter: 1 	|	K: 1 	|	Lamb: 0,0625	|	Mean price: 796,1160	|	Mean time: 39 miliseconds
Steps: 1000 	|	Stiter: 1 	|	K: 1 	|	Lamb: 0,0312	|	Mean price: 796,4585	|	Mean time: 30 miliseconds
Steps: 1000 	|	Stiter: 1 	|	K: 2 	|	Lamb: 0,5000	|	Mean price: 795,3590	|	Mean time: 35 miliseconds
Steps: 1000 	|	Stiter: 1 	|	K: 2 	|	Lamb: 0,2500	|	Mean price: 796,1925	|	Mean time: 38 miliseconds
Steps: 1000 	|	Stiter: 1 	|	K: 2 	|	Lamb: 0,1250	|	Mean price: 797,6120	|	Mean time: 40 miliseconds
Steps: 1000 	|	Stiter: 1 	|	K: 2 	|	Lamb: 0,0625	|	Mean price: 796,5730	|	Mean time: 26 miliseconds
Steps: 1000 	|	Stiter: 1 	|	K: 2 	|	Lamb: 0,0312	|	Mean price: 797,6825	|	Mean time: 32 miliseconds
Steps: 1000 	|	Stiter: 1 	|	K: 3 	|	Lamb: 0,5000	|	Mean price: 795,2070	|	Mean time: 27 miliseconds
Steps: 1000 	|	Stiter: 1 	|	K: 3 	|	Lamb: 0,2500	|	Mean price: 795,8675	|	Mean time: 29 miliseconds
Steps: 1000 	|	Stiter: 1 	|	K: 3 	|	Lamb: 0,1250	|	Mean price: 795,9125	|	Mean time: 31 miliseconds
Steps: 1000 	|	Stiter: 1 	|	K: 3 	|	Lamb: 0,0625	|	Mean price: 797,6240	|	Mean time: 36 miliseconds
Steps: 1000 	|	Stiter: 1 	|	K: 3 	|	Lamb: 0,0312	|	Mean price: 799,4035	|	Mean time: 28 miliseconds
Steps: 1000 	|	Stiter: 1 	|	K: 4 	|	Lamb: 0,5000	|	Mean price: 796,9900	|	Mean time: 47 miliseconds
Steps: 1000 	|	Stiter: 1 	|	K: 4 	|	Lamb: 0,2500	|	Mean price: 795,9510	|	Mean time: 26 miliseconds
Steps: 1000 	|	Stiter: 1 	|	K: 4 	|	Lamb: 0,1250	|	Mean price: 796,6420	|	Mean time: 26 miliseconds
Steps: 1000 	|	Stiter: 1 	|	K: 4 	|	Lamb: 0,0625	|	Mean price: 797,8270	|	Mean time: 22 miliseconds
Steps: 1000 	|	Stiter: 1 	|	K: 4 	|	Lamb: 0,0312	|	Mean price: 800,1930	|	Mean time: 20 miliseconds
Steps: 1000 	|	Stiter: 1 	|	K: 5 	|	Lamb: 0,5000	|	Mean price: 795,5460	|	Mean time: 30 miliseconds
Steps: 1000 	|	Stiter: 1 	|	K: 5 	|	Lamb: 0,2500	|	Mean price: 797,3570	|	Mean time: 21 miliseconds
Steps: 1000 	|	Stiter: 1 	|	K: 5 	|	Lamb: 0,1250	|	Mean price: 797,3485	|	Mean time: 27 miliseconds
Steps: 1000 	|	Stiter: 1 	|	K: 5 	|	Lamb: 0,0625	|	Mean price: 799,6035	|	Mean time: 18 miliseconds
Steps: 1000 	|	Stiter: 1 	|	K: 5 	|	Lamb: 0,0312	|	Mean price: 802,1070	|	Mean time: 18 miliseconds
Steps: 1000 	|	Stiter: 2 	|	K: 1 	|	Lamb: 0,5000	|	Mean price: 795,0500	|	Mean time: 54 miliseconds
Steps: 1000 	|	Stiter: 2 	|	K: 1 	|	Lamb: 0,2500	|	Mean price: 795,5075	|	Mean time: 26 miliseconds
Steps: 1000 	|	Stiter: 2 	|	K: 1 	|	Lamb: 0,1250	|	Mean price: 795,1305	|	Mean time: 17 miliseconds
Steps: 1000 	|	Stiter: 2 	|	K: 1 	|	Lamb: 0,0625	|	Mean price: 796,1720	|	Mean time: 22 miliseconds
Steps: 1000 	|	Stiter: 2 	|	K: 1 	|	Lamb: 0,0312	|	Mean price: 797,0050	|	Mean time: 16 miliseconds
Steps: 1000 	|	Stiter: 2 	|	K: 2 	|	Lamb: 0,5000	|	Mean price: 795,8020	|	Mean time: 16 miliseconds
Steps: 1000 	|	Stiter: 2 	|	K: 2 	|	Lamb: 0,2500	|	Mean price: 795,7190	|	Mean time: 20 miliseconds
Steps: 1000 	|	Stiter: 2 	|	K: 2 	|	Lamb: 0,1250	|	Mean price: 796,8260	|	Mean time: 15 miliseconds
Steps: 1000 	|	Stiter: 2 	|	K: 2 	|	Lamb: 0,0625	|	Mean price: 796,4385	|	Mean time: 15 miliseconds
Steps: 1000 	|	Stiter: 2 	|	K: 2 	|	Lamb: 0,0312	|	Mean price: 798,4365	|	Mean time: 18 miliseconds
Steps: 1000 	|	Stiter: 2 	|	K: 3 	|	Lamb: 0,5000	|	Mean price: 796,0790	|	Mean time: 17 miliseconds
Steps: 1000 	|	Stiter: 2 	|	K: 3 	|	Lamb: 0,2500	|	Mean price: 795,4605	|	Mean time: 17 miliseconds
Steps: 1000 	|	Stiter: 2 	|	K: 3 	|	Lamb: 0,1250	|	Mean price: 796,3210	|	Mean time: 40 miliseconds
Steps: 1000 	|	Stiter: 2 	|	K: 3 	|	Lamb: 0,0625	|	Mean price: 797,3195	|	Mean time: 51 miliseconds
Steps: 1000 	|	Stiter: 2 	|	K: 3 	|	Lamb: 0,0312	|	Mean price: 798,6815	|	Mean time: 45 miliseconds
Steps: 1000 	|	Stiter: 2 	|	K: 4 	|	Lamb: 0,5000	|	Mean price: 796,7975	|	Mean time: 48 miliseconds
Steps: 1000 	|	Stiter: 2 	|	K: 4 	|	Lamb: 0,2500	|	Mean price: 796,6465	|	Mean time: 22 miliseconds
Steps: 1000 	|	Stiter: 2 	|	K: 4 	|	Lamb: 0,1250	|	Mean price: 797,3665	|	Mean time: 18 miliseconds
Steps: 1000 	|	Stiter: 2 	|	K: 4 	|	Lamb: 0,0625	|	Mean price: 798,6370	|	Mean time: 16 miliseconds
Steps: 1000 	|	Stiter: 2 	|	K: 4 	|	Lamb: 0,0312	|	Mean price: 798,0815	|	Mean time: 16 miliseconds
Steps: 1000 	|	Stiter: 2 	|	K: 5 	|	Lamb: 0,5000	|	Mean price: 795,9065	|	Mean time: 17 miliseconds
Steps: 1000 	|	Stiter: 2 	|	K: 5 	|	Lamb: 0,2500	|	Mean price: 796,8845	|	Mean time: 17 miliseconds
Steps: 1000 	|	Stiter: 2 	|	K: 5 	|	Lamb: 0,1250	|	Mean price: 798,3855	|	Mean time: 17 miliseconds
Steps: 1000 	|	Stiter: 2 	|	K: 5 	|	Lamb: 0,0625	|	Mean price: 798,8325	|	Mean time: 19 miliseconds
Steps: 1000 	|	Stiter: 2 	|	K: 5 	|	Lamb: 0,0312	|	Mean price: 800,9435	|	Mean time: 17 miliseconds
Steps: 1000 	|	Stiter: 3 	|	K: 1 	|	Lamb: 0,5000	|	Mean price: 795,0590	|	Mean time: 19 miliseconds
Steps: 1000 	|	Stiter: 3 	|	K: 1 	|	Lamb: 0,2500	|	Mean price: 795,2195	|	Mean time: 18 miliseconds
