
······ Experiment Configuration ······ 
- # Packages: 100, seeds: 1234, 2345, 3456, 4567, 5678, 6789, 7890, 8901, 9012, 123, 
- Proportion: 1.2, seeds: 1234, 2345, 3456, 4567, 5678, 6789, 7890, 8901, 9012, 123, 
······································

Steps: 1000 	|	Stiter: 1 	|	K: 1 	|	Lamb: 0,5000	|	Mean price: 927,8060	|	Mean time: 107 miliseconds
Steps: 1000 	|	Stiter: 1 	|	K: 1 	|	Lamb: 0,2500	|	Mean price: 928,7365	|	Mean time: 83 miliseconds
Steps: 1000 	|	Stiter: 1 	|	K: 1 	|	Lamb: 0,1250	|	Mean price: 930,0255	|	Mean time: 63 miliseconds
Steps: 1000 	|	Stiter: 1 	|	K: 1 	|	Lamb: 0,0625	|	Mean price: 929,4210	|	Mean time: 48 miliseconds
Steps: 1000 	|	Stiter: 1 	|	K: 1 	|	Lamb: 0,0312	|	Mean price: 927,9940	|	Mean time: 54 miliseconds
Steps: 1000 	|	Stiter: 1 	|	K: 2 	|	Lamb: 0,5000	|	Mean price: 928,5425	|	Mean time: 46 miliseconds
Steps: 1000 	|	Stiter: 1 	|	K: 2 	|	Lamb: 0,2500	|	Mean price: 928,0305	|	Mean time: 41 miliseconds
Steps: 1000 	|	Stiter: 1 	|	K: 2 	|	Lamb: 0,1250	|	Mean price: 929,9100	|	Mean time: 30 miliseconds
Steps: 1000 	|	Stiter: 1 	|	K: 2 	|	Lamb: 0,0625	|	Mean price: 928,2680	|	Mean time: 34 miliseconds
Steps: 1000 	|	Stiter: 1 	|	K: 2 	|	Lamb: 0,0312	|	Mean price: 930,3530	|	Mean time: 37 miliseconds
Steps: 1000 	|	Stiter: 1 	|	K: 3 	|	Lamb: 0,5000	|	Mean price: 928,3690	|	Mean time: 35 miliseconds
Steps: 1000 	|	Stiter: 1 	|	K: 3 	|	Lamb: 0,2500	|	Mean price: 928,3980	|	Mean time: 33 miliseconds
Steps: 1000 	|	Stiter: 1 	|	K: 3 	|	Lamb: 0,1250	|	Mean price: 929,4530	|	Mean time: 29 miliseconds
