
······ Experiment Configuration ······ 
- # Packages: 100, seeds: 1234, 2345, 3456, 4567, 5678, 6789, 7890, 8901, 9012, 123, 
- Proportion: 1.2, seeds: 1234, 2345, 3456, 4567, 5678, 6789, 7890, 8901, 9012, 123, 
······································

Steps	Stiter	K	Lamb	price	time
10000 	1 	0 	1,0000	931,3550	9.6
10000 	1 	0 	0,5000	927,4745	14.0
10000 	1 	0 	0,1000	925,4675	31.9
10000 	1 	0 	0,0500	925,5205	28.0
10000 	1 	0 	0,0100	924,8035	24.2
10000 	1 	1 	1,0000	929,9430	2.4
10000 	1 	1 	0,5000	926,2360	8.5
10000 	1 	1 	0,1000	924,6715	25.2
10000 	1 	1 	0,0500	925,4215	36.6
10000 	1 	1 	0,0100	925,7720	24.9
10000 	1 	2 	1,0000	930,5795	1.8
10000 	1 	2 	0,5000	928,5795	3.5
10000 	1 	2 	0,1000	927,3320	19.1
10000 	1 	2 	0,0500	926,9085	24.4
10000 	1 	2 	0,0100	936,2895	26.7
10000 	1 	3 	1,0000	933,9135	1.6
10000 	1 	3 	0,5000	927,5485	3.4
10000 	1 	3 	0,1000	929,0555	18.6
10000 	1 	3 	0,0500	932,3555	24.2
10000 	1 	3 	0,0100	937,6045	24.4
10000 	2 	0 	1,0000	931,5055	2.0
10000 	2 	0 	0,5000	926,1305	3.6
10000 	2 	0 	0,1000	925,6075	17.6
10000 	2 	0 	0,0500	925,1555	24.2
10000 	2 	0 	0,0100	925,1610	24.6
10000 	2 	1 	1,0000	931,3325	1.7
10000 	2 	1 	0,5000	926,6380	3.6
10000 	2 	1 	0,1000	925,9140	17.6
10000 	2 	1 	0,0500	927,1195	24.7
10000 	2 	1 	0,0100	929,2975	25.2
10000 	2 	2 	1,0000	931,5515	1.6
10000 	2 	2 	0,5000	927,0305	3.1
10000 	2 	2 	0,1000	925,7110	17.4
10000 	2 	2 	0,0500	926,2670	23.0
10000 	2 	2 	0,0100	928,2420	23.6
10000 	2 	3 	1,0000	933,2950	1.6
10000 	2 	3 	0,5000	928,9030	3.1
10000 	2 	3 	0,1000	927,5240	17.1
10000 	2 	3 	0,0500	930,7945	25.3
10000 	2 	3 	0,0100	942,3255	25.4
10000 	3 	0 	1,0000	931,8725	1.9
10000 	3 	0 	0,5000	925,9015	3.7
10000 	3 	0 	0,1000	924,7050	17.9
10000 	3 	0 	0,0500	925,7335	23.9
10000 	3 	0 	0,0100	923,4310	24.1
10000 	3 	1 	1,0000	930,2845	1.8
10000 	3 	1 	0,5000	925,9800	3.3
10000 	3 	1 	0,1000	927,1380	18.2
10000 	3 	1 	0,0500	929,7420	25.6
10000 	3 	1 	0,0100	925,0530	23.8
10000 	3 	2 	1,0000	930,8710	1.8
10000 	3 	2 	0,5000	928,0085	3.7
10000 	3 	2 	0,1000	924,9190	16.7
10000 	3 	2 	0,0500	926,5330	24.2
10000 	3 	2 	0,0100	933,7740	25.0
10000 	3 	3 	1,0000	933,2425	1.6
10000 	3 	3 	0,5000	927,6795	3.6
10000 	3 	3 	0,1000	928,5545	18.3
10000 	3 	3 	0,0500	930,5280	23.7
10000 	3 	3 	0,0100	937,8780	25.1
10000 	4 	0 	1,0000	931,2790	1.9
10000 	4 	0 	0,5000	926,8265	3.6
10000 	4 	0 	0,1000	924,7410	17.9
10000 	4 	0 	0,0500	923,9005	23.4
10000 	4 	0 	0,0100	926,2425	24.1
10000 	4 	1 	1,0000	931,4220	1.7
10000 	4 	1 	0,5000	927,0145	3.4
10000 	4 	1 	0,1000	924,5120	17.4
10000 	4 	1 	0,0500	927,5115	22.6
10000 	4 	1 	0,0100	927,9350	23.5
10000 	4 	2 	1,0000	931,8125	1.5
10000 	4 	2 	0,5000	925,7580	3.2
10000 	4 	2 	0,1000	928,5590	17.3
10000 	4 	2 	0,0500	929,9265	23.3
10000 	4 	2 	0,0100	930,0975	23.9
10000 	4 	3 	1,0000	931,3570	1.6
10000 	4 	3 	0,5000	928,4595	3.3
10000 	4 	3 	0,1000	927,5145	18.0
