
······ Experiment Configuration ······ 
- # Packages: 100, seeds: 1234, 2345, 3456, 4567, 5678, 6789, 7890, 8901, 9012, 123, 
- Proportion: 1.2, seeds: 1234, 2345, 3456, 4567, 5678, 6789, 7890, 8901, 9012, 123, 
······································

Steps	Stiter	K	Lamb	price	time
10000 	1 	1 	1.0	931,4625	9.3
10000 	1 	1 	0.1	925,3060	39.3
10000 	1 	1 	0.01	926,0370	34.3
10000 	1 	1 	0.001	923,6025	26.1
10000 	1 	1 	1.0E-4	928,8065	40.6
10000 	1 	5 	1.0	932,5540	2.3
10000 	1 	5 	0.1	924,3470	25.8
10000 	1 	5 	0.01	928,1575	27.7
10000 	1 	5 	0.001	936,8850	36.9
10000 	1 	5 	1.0E-4	961,6285	19.8
10000 	1 	25 	1.0	932,1800	1.8
10000 	1 	25 	0.1	927,0100	19.5
10000 	1 	25 	0.01	931,7330	24.7
10000 	1 	25 	0.001	960,8085	28.6
10000 	1 	25 	1.0E-4	965,5135	26.7
10000 	1 	125 	1.0	932,3940	1.6
10000 	1 	125 	0.1	932,6820	19.3
10000 	1 	125 	0.01	932,3045	23.5
10000 	1 	125 	0.001	965,2475	23.3
10000 	1 	125 	1.0E-4	963,5380	16.3
10000 	1 	500 	1.0	931,5510	1.6
10000 	1 	500 	0.1	929,1810	17.8
10000 	1 	500 	0.01	949,8660	27.8
10000 	1 	500 	0.001	964,5145	24.4
10000 	1 	500 	1.0E-4	964,1685	16.5
10000 	2 	1 	1.0	931,0870	1.7
10000 	2 	1 	0.1	925,5610	16.3
10000 	2 	1 	0.01	925,6905	23.1
10000 	2 	1 	0.001	927,1990	24.4
10000 	2 	1 	1.0E-4	934,0170	21.6
10000 	2 	5 	1.0	932,2555	1.6
10000 	2 	5 	0.1	926,1665	17.2
10000 	2 	5 	0.01	925,0700	26.2
10000 	2 	5 	0.001	940,4665	25.9
10000 	2 	5 	1.0E-4	960,8585	20.9
10000 	2 	25 	1.0	930,8755	1.7
10000 	2 	25 	0.1	927,3610	16.5
10000 	2 	25 	0.01	933,1990	26.1
10000 	2 	25 	0.001	962,0120	25.8
10000 	2 	25 	1.0E-4	964,0835	19.0
10000 	2 	125 	1.0	931,2375	2.0
10000 	2 	125 	0.1	926,7650	17.7
10000 	2 	125 	0.01	941,7410	25.5
10000 	2 	125 	0.001	965,1580	25.7
10000 	2 	125 	1.0E-4	964,8815	18.3
10000 	2 	500 	1.0	932,5485	2.0
10000 	2 	500 	0.1	928,1005	16.1
10000 	2 	500 	0.01	938,8940	27.9
10000 	2 	500 	0.001	964,5885	23.2
10000 	2 	500 	1.0E-4	965,1070	17.6
10000 	5 	1 	1.0	930,1545	1.8
10000 	5 	1 	0.1	925,9425	17.7
10000 	5 	1 	0.01	924,8210	23.8
10000 	5 	1 	0.001	923,6435	25.5
10000 	5 	1 	1.0E-4	933,4345	21.7
10000 	5 	5 	1.0	931,7980	1.6
10000 	5 	5 	0.1	926,4190	17.6
10000 	5 	5 	0.01	925,5990	24.1
10000 	5 	5 	0.001	941,8915	24.2
10000 	5 	5 	1.0E-4	960,7605	20.1
10000 	5 	25 	1.0	931,7730	1.6
10000 	5 	25 	0.1	926,9280	18.4
10000 	5 	25 	0.01	929,5895	24.0
10000 	5 	25 	0.001	962,1140	27.4
10000 	5 	25 	1.0E-4	964,1560	18.1
10000 	5 	125 	1.0	932,2570	1.7
10000 	5 	125 	0.1	926,8610	16.8
10000 	5 	125 	0.01	942,7100	23.7
10000 	5 	125 	0.001	965,2430	24.3
10000 	5 	125 	1.0E-4	964,5810	21.9
10000 	5 	500 	1.0	933,1895	1.7
10000 	5 	500 	0.1	927,4850	17.8
10000 	5 	500 	0.01	943,2705	26.2
10000 	5 	500 	0.001	964,9035	21.3
10000 	5 	500 	1.0E-4	965,8965	18.1
10000 	10 	1 	1.0	931,6685	1.6
10000 	10 	1 	0.1	925,9130	17.2
