
······ Experiment Configuration ······ 
- # Packages: 100, seed: 1234, 2345, 3456, 4567, 5678, 6789, 7890, 8901, 9012, 123, 
- Proportion: 1.2, seed: 1234, 2345, 3456, 4567, 5678, 6789, 7890, 8901, 9012, 123, 
······································

Initial price	Initial happiness	Epsilon happiness	Operator	Price	Happiness	Time
Epsilon happiness	Operator	Price	Happiness	Time
0	Move	935.579	0	17
0	Swap	936.8194999999998	0	33
0	Move & Swap	934.573	0	68
1	Move	943.8715	12	27
1	Swap	936.8194999999998	0	26
1	Move & Swap	940.5145	9	89
2	Move	970.8459999999999	30	37
2	Swap	936.8194999999998	0	34
2	Move & Swap	968.0564999999999	29	124
3	Move	1007.4200000000001	45	45
3	Swap	936.8194999999998	0	26
3	Move & Swap	1007.575	45	171
4	Move	1053.5395	58	50
4	Swap	936.8194999999998	0	25
4	Move & Swap	1054.8055	59	216
5	Move	1104.8819999999998	69	55
5	Swap	936.8194999999998	0	29
5	Move & Swap	1108.2879999999998	71	237
6	Move	1164.6744999999996	80	69
6	Swap	936.8194999999998	0	23
6	Move & Swap	1160.6084999999998	80	274
7	Move	1216.8504999999998	88	69
7	Swap	936.8194999999998	0	29
7	Move & Swap	1219.8309999999997	89	302
8	Move	1254.191	93	73
8	Swap	936.8194999999998	0	26
8	Move & Swap	1249.4085	93	303
9	Move	1286.412	97	79
9	Swap	936.8194999999998	0	30
9	Move & Swap	1289.563	98	327
10	Move	1331.9279999999999	102	90
10	Swap	936.8194999999998	0	24
10	Move & Swap	1334.8295	103	323
11	Move	1366.449	105	96
11	Swap	936.8194999999998	0	25
11	Move & Swap	1361.8664999999999	105	342
12	Move	1388.1570000000004	107	90
12	Swap	936.8194999999998	0	25
12	Move & Swap	1382.4265	107	361
13	Move	1418.0584999999999	109	101
13	Swap	936.8194999999998	0	32
13	Move & Swap	1408.1799999999998	109	348
14	Move	1444.9684999999997	111	94
14	Swap	936.8194999999998	0	25
14	Move & Swap	1438.6814999999997	111	381
