Epsilon happiness	Operator	Price	Happiness	Time
0	Move	936.872	0	67
0	Swap	936.9054999999998	0	110
0	Move & Swap	936.9724999999999	0	158
1	Move	944.9744999999999	11	46
1	Swap	945.747	12	87
1	Move & Swap	944.7885	10	121
2	Move	973.546	31	40
2	Swap	976.309	31	75
2	Move & Swap	976.6174999999997	31	102
3	Move	1014.3895	47	35
3	Swap	1018.1390000000001	48	70
3	Move & Swap	1017.6584999999998	47	98
4	Move	1061.4679999999996	60	32
4	Swap	1064.8870000000002	60	66
4	Move & Swap	1064.0405	60	109
5	Move	1120.2235	72	35
5	Swap	1114.8280000000002	72	74
5	Move & Swap	1115.9595000000004	71	92
6	Move	1163.7529999999995	79	37
6	Swap	1160.4734999999996	79	64
6	Move & Swap	1169.2694999999999	81	80
7	Move	1205.2839999999997	85	33
7	Swap	1225.6449999999998	89	70
7	Move & Swap	1207.6580000000001	86	90
8	Move	1256.7269999999999	93	33
8	Swap	1258.3754999999999	93	59
8	Move & Swap	1245.5260000000005	91	83
9	Move	1287.4560000000001	95	28
9	Swap	1290.0855000000004	95	70
9	Move & Swap	1289.0724999999998	95	89
10	Move	1321.7350000000004	99	30
10	Swap	1318.3950000000002	98	62
10	Move & Swap	1327.5309999999995	100	85
11	Move	1369.3654999999997	103	33
11	Swap	1359.5175000000004	103	63
11	Move & Swap	1364.6594999999998	103	80
12	Move	1409.0444999999997	105	30
12	Swap	1408.458	106	54
12	Move & Swap	1405.4719999999998	106	86
13	Move	1427.7920000000001	107	28
13	Swap	1428.8100000000002	108	61
13	Move & Swap	1420.3024999999998	107	77
14	Move	1469.0674999999997	110	29
14	Swap	1479.935	111	60
14	Move & Swap	1476.7425000000003	111	72
